feature,importance
num__congestion_rolling_avg_15m,410
num__speed_volatility_30m,386
num__hour_of_day,344
num__weather_temperature,331
num__speed_rolling_avg_15m,275
num__jamFactor,262
num__congestion_lag_4,261
num__speed_rolling_avg_30m,255
num__congestion_lag_5,252
num__congestion_lag_12,235
num__congestion_lag_9,233
num__congestion_lag_2,222
num__congestion_lag_6,221
num__congestion_lag_8,220
num__speed_rolling_avg_60m,217
num__congestion_lag_7,216
num__congestion_rolling_avg_30m,212
num__congestion_lag_10,211
num__currentSpeed,209
num__weather_wind_speed,209
num__speed_lag_8,208
num__congestion_rolling_avg_60m,207
num__congestion_lag_3,196
num__congestion_lag_1,192
num__speed_lag_4,189
num__congestion_lag_11,182
num__speed_volatility_15m,179
num__speed_acceleration,170
num__speed_lag_11,170
num__speed_lag_9,155
num__speed_lag_1,152
num__speed_trend_1,149
num__weather_humidity,146
num__speed_lag_3,143
num__freeFlowSpeed,132
num__speed_lag_12,132
num__speed_lag_10,129
num__speed_lag_5,127
num__speed_lag_6,125
num__speed_lag_7,125
num__speed_trend_2,121
num__lat,107
num__speed_lag_2,106
num__congestion_ratio,69
cat__date_2026-05-15,37
cat__segment_id_HN_001,32
num__weather_rain_1h,24
num__lon,23
cat__segment_id_HN_004,20
num__day_of_week,16
num__is_peak_hour,15
cat__segment_id_HN_005,7
num__day_of_month,6
num__has_accident,6
num__has_any_event,5
cat__date_2026-05-16,3
num__news_event_count_6h,3
cat__segment_id_HN_002,3
num__news_event_count_3h,2
cat__segment_id_HN_003,2
num__has_rain,2
num__news_event_count_1h,2
num__confidence,0
num__has_recent_accident,0
num__valid_history_30m,0
cat__city_hanoi,0
cat__date_2026-05-14,0
num__is_weekend,0
num__weather_severity,0
num__valid_history_60m,0
num__accident_count_1h,0
num__max_event_severity_6h,0
num__max_event_severity_1h,0
num__avg_traffic_relevance_score_6h,0
cat__date_2026-05-17,0
